Material,Frequency,1k,10k,100k,1M,10M,100M,1G,10G,defect,x,Mg,electric field,tunability,loss
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,15,0.069,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,16,0.077,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,17,0.085,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,18,0.093,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,19,0.101,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,21,0.12,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,22,0.127,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,23,0.137,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,24,0.144,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,25,0.154,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,26,0.163,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,27,0.172,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,28,0.181,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,29,0.188,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,30,0.197,0.0008
Ba0.3Sr0.7TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.3,0,4,0.001,0.0005
Ba0.3Sr0.7TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.3,0,5,0.002,0.0005
Ba0.3Sr0.7TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.3,0,6,0.003,0.0005
Ba0.3Sr0.7TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.3,0,7,0.004,0.0005
Ba0.3Sr0.7TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.3,0,8,0.005,0.0005
Ba0.3Sr0.7TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.3,0,9,0.007,0.0005
Ba0.3Sr0.7TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.3,0,10,0.007,0.0005
Ba0.3Sr0.7TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.3,0,11,0.009,0.0005
Ba0.3Sr0.7TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.3,0,12,0.011,0.0005
Ba0.3Sr0.7TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.3,0,13,0.012,0.0005
Ba0.3Sr0.7TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.3,0,14,0.014,0.0005
Ba0.3Sr0.7TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.3,0,15,0.016,0.0005
Ba0.3Sr0.7TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.3,0,16,0.018,0.0005
Ba0.3Sr0.7TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.3,0,17,0.02,0.0005
Ba0.3Sr0.7TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.3,0,18,0.023,0.0005
Ba0.3Sr0.7TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.3,0,19,0.025,0.0005
Ba0.3Sr0.7TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.3,0,21,0.031,0.0005
Ba0.3Sr0.7TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.3,0,22,0.033,0.0005
Ba0.3Sr0.7TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.3,0,23,0.036,0.0005
