Frequency,1k,10k,100k,1M,10M,100M,1G,10G,defect,x,Mg,electric field,tunability,loss,FOM
,0,0,1,0,0,0,0,0,0.24,0.62,0,20,0.6051030159,0.0120297484,50.3005545735
,0,0,1,0,0,0,0,0,0.24,0.63,0,20,0.6141782999,0.012570844,48.8573639049
,0,0,1,0,0,0,0,0,0.24,0.64,0,20,0.6182525158,0.0130803315,47.2658140048
,0,0,1,0,0,0,0,0,0.24,0.65,0,20,0.6178577542,0.0135594392,45.5666156311
,0,0,1,0,0,0,0,0,0.24,0.66,0,20,0.6134226322,0.0140087167,43.7886385553
,0,0,1,0,0,0,0,0,0.24,0.67,0,20,0.6053158045,0.0144282635,41.9534758635
,0,0,1,0,0,0,0,0,0.24,0.68,0,20,0.5938493609,0.0148178386,40.0766519957
,0,0,1,0,0,0,0,0,0.24,0.69,0,20,0.5793135762,0.0151766166,38.1714575434
,0,0,1,0,0,0,0,0,0.24,0.7,0,20,0.5622931719,0.0155180125,36.2348704062
,0,0,1,0,0,0,0,0,0.28,0.5,0,20,0.2198945135,0.0041796048,52.6113171035
,0,0,1,0,0,0,0,0,0.28,0.51,0,20,0.2460004389,0.004679942,52.5648477908
,0,0,1,0,0,0,0,0,0.28,0.52,0,20,0.2741676271,0.005204821,52.6757072145
,0,0,1,0,0,0,0,0,0.28,0.53,0,20,0.3049766719,0.0057538408,53.0040163607
,0,0,1,0,0,0,0,0,0.28,0.54,0,20,0.3376347125,0.0063259117,53.3732888652
,0,0,1,0,0,0,0,0,0.28,0.55,0,20,0.3712858856,0.0069205565,53.6497152505
,0,0,1,0,0,0,0,0,0.28,0.56,0,20,0.4058411419,0.0075371414,53.8454992897
,0,0,1,0,0,0,0,0,0.28,0.57,0,20,0.4417362511,0.0081662936,54.0926242353
,0,0,1,0,0,0,0,0,0.28,0.58,0,20,0.4784647226,0.0088038873,54.3469840419
,0,0,1,0,0,0,0,0,0.28,0.59,0,20,0.5108906031,0.0094412174,54.1127887914
,0,0,1,0,0,0,0,0,0.28,0.6,0,20,0.53834337,0.0100728609,53.4449324124
,0,0,1,0,0,0,0,0,0.28,0.61,0,20,0.5591582656,0.0106898937,52.3071867029
,0,0,1,0,0,0,0,0,0.28,0.62,0,20,0.5738275051,0.0112849474,50.8489304168
,0,0,1,0,0,0,0,0,0.28,0.63,0,20,0.5830010176,0.0118462518,49.2139646736
,0,0,1,0,0,0,0,0,0.28,0.64,0,20,0.5872812867,0.0123754432,47.4553740992
,0,0,1,0,0,0,0,0,0.28,0.65,0,20,0.5871585608,0.0128734438,45.6100612953
,0,0,1,0,0,0,0,0,0.28,0.66,0,20,0.5830495954,0.0133409975,43.7035982804
,0,0,1,0,0,0,0,0,0.28,0.67,0,20,0.575315237,0.0137784062,41.7548465802
,0,0,1,0,0,0,0,0,0.28,0.68,0,20,0.5643394589,0.0141853523,39.7832529616
,0,0,1,0,0,0,0,0,0.28,0.69,0,20,0.5507958531,0.0145613644,37.8258409013
,0,0,1,0,0,0,0,0,0.28,0.7,0,20,0.5350353718,0.0149084665,35.88802187
,0,0,1,0,0,0,0,0,0.3,0.5,0,20,0.2133741677,0.0038317209,55.6862499302
,0,0,1,0,0,0,0,0,0.3,0.51,0,20,0.2387914062,0.0043252232,55.2090366573
,0,0,1,0,0,0,0,0,0.3,0.52,0,20,0.2663529813,0.0048439461,54.9867764425
,0,0,1,0,0,0,0,0,0.3,0.53,0,20,0.2960086167,0.0053864699,54.9541020734
,0,0,1,0,0,0,0,0,0.3,0.54,0,20,0.3274010718,0.0059519773,55.0071102926
,0,0,1,0,0,0,0,0,0.3,0.55,0,20,0.359718889,0.0065397494,55.0049959101
,0,0,1,0,0,0,0,0,0.3,0.56,0,20,0.392917335,0.0071498961,54.9542719928
,0,0,1,0,0,0,0,0,0.3,0.57,0,20,0.4274506867,0.0077762706,54.9685972476
,0,0,1,0,0,0,0,0,0.3,0.58,0,20,0.4630541801,0.0084121199,55.0460746642
,0,0,1,0,0,0,0,0,0.3,0.59,0,20,0.4950057864,0.0090488819,54.7035304329
,0,0,1,0,0,0,0,0,0.3,0.6,0,20,0.5222545862,0.0096816774,53.9425726166
,0,0,1,0,0,0,0,0,0.3,0.61,0,20,0.5431388617,0.0103009436,52.7270979039
,0,0,1,0,0,0,0,0,0.3,0.62,0,20,0.5579034686,0.0109035643,51.1670728259
,0,0,1,0,0,0,0,0,0.3,0.63,0,20,0.5672146082,0.011475658,49.4276326639
,0,0,1,0,0,0,0,0,0.3,0.64,0,20,0.571659863,0.012015041,47.5786859987
,0,0,1,0,0,0,0,0,0.3,0.65,0,20,0.5717198849,0.0125228763,45.6540391523
,0,0,1,0,0,0,0,0,0.3,0.66,0,20,0.5678164959,0.0129998978,43.6785353728
,0,0,1,0,0,0,0,0,0.3,0.67,0,20,0.5603742599,0.0134462854,41.6750234901
,0,0,1,0,0,0,0,0,0.3,0.68,0,20,0.54989326,0.0138621116,39.66879476
,0,0,1,0,0,0,0,0,0.3,0.69,0,20,0.536965251,0.014247003,37.6896987387
,0,0,1,0,0,0,0,0,0.3,0.7,0,20,0.5218437314,0.0146006169,35.7412111402
,0,0,1,0,0,0,0,0,0.32,0.5,0,20,0.2068150342,0.0034852487,59.3401079814
,0,0,1,0,0,0,0,0,0.32,0.51,0,20,0.2314484864,0.0039707925,58.2877313282
,0,0,1,0,0,0,0,0,0.32,0.52,0,20,0.2583218515,0.0044826637,57.6268640228
,0,0,1,0,0,0,0,0,0.32,0.53,0,20,0.287063539,0.0050185132,57.20091341
,0,0,1,0,0,0,0,0,0.32,0.54,0,20,0.3171317279,0.0055772825,56.8613348705
,0,0,1,0,0,0,0,0,0.32,0.55,0,20,0.3481019735,0.0061582639,56.5259916029
,0,0,1,0,0,0,0,0,0.32,0.56,0,20,0.3799514472,0.0067613279,56.1947967647
,0,0,1,0,0,0,0,0,0.32,0.57,0,20,0.4130941927,0.0073847501,55.9388181192
,0,0,1,0,0,0,0,0,0.32,0.58,0,20,0.4475300908,0.0080189565,55.8090183929
,0,0,1,0,0,0,0,0,0.32,0.59,0,20,0.4789219499,0.0086552594,55.3330556332
,0,0,1,0,0,0,0,0,0.32,0.6,0,20,0.5060091615,0.0092886109,54.4763008105
,0,0,1,0,0,0,0,0,0.32,0.61,0,20,0.527033031,0.0099106338,53.1785394997
,0,0,1,0,0,0,0,0,0.32,0.62,0,20,0.5419512987,0.0105178915,51.5266105093
,0,0,1,0,0,0,0,0,0.32,0.63,0,20,0.551451385,0.0110995527,49.6823070177
,0,0,1,0,0,0,0,0,0.32,0.64,0,20,0.556096971,0.0116493888,47.7361499858
,0,0,1,0,0,0,0,0,0.32,0.65,0,20,0.5563916564,0.0121672377,45.7286748331
,0,0,1,0,0,0,0,0,0.32,0.66,0,20,0.5528122187,0.012653756,43.6875990575
,0,0,1,0,0,0,0,0,0.32,0.67,0,20,0.5457504988,0.0131093729,41.6305572328
,0,0,1,0,0,0,0,0,0.32,0.68,0,20,0.5358532071,0.0135342814,39.5922909583
,0,0,1,0,0,0,0,0,0.32,0.69,0,20,0.5235381126,0.0139282458,37.5882304288
,0,0,1,0,0,0,0,0,0.32,0.7,0,20,0.5090485811,0.0142906262,35.6211529135
,0,0,1,0,0,0,0,0,0.34,0.5,0,20,0.2003051043,0.0031402209,63.7869470584
